Theta,V
3.0,70.0
3.1,68.0
3.2,51.0
3.3,45.0
3.4,26.0
3.5,15.0
3.6,10.0
3.7,4.0
3.8,4.0
3.9,4.0
4.0,3.0
4.1,2.0
4.2,4.0
4.3,5.0
4.4,3.0
4.5,2.0
4.6,3.0
4.7,2.0
4.8,4.0
4.9,2.0
5.0,3.0
5.1,2.0
5.2,2.0
5.3,2.0
5.4,2.0
5.5,2.0
5.6,1.0
5.7,2.0
5.8,2.0
5.9,1.0
6.0,1.0
6.1,2.0
6.2,1.0
6.3,1.0
6.4,2.0
6.5,2.0
6.6,1.0
6.7,2.0
6.8,3.0
6.9,2.0
7.0,3.0
7.1,3.0
7.2,3.0
7.3,7.0
7.4,13.0
7.5,17.0
7.6,17.0
7.7,23.0
7.8,30.0
7.9,27.0
8.0,36.0
8.1,42.0
8.2,40.0
8.3,46.0
8.4,47.0
8.5,56.0
8.6,48.0
8.7,47.0
8.8,66.0
8.9,55.0
9.0,56.0
9.1,65.0
9.2,55.0
9.3,63.0
9.4,64.0
9.5,61.0
9.6,61.0
9.7,64.0
9.8,52.0
9.9,64.0
10.0,56.0
10.1,61.0
10.2,51.0
10.3,60.0
10.4,57.0
10.5,55.0
10.6,55.0
10.7,60.0
10.8,57.0
10.9,60.0
11.0,60.0
