Theta,V
3.0,965.0
3.1,953.0
3.2,587.0
3.3,422.0
3.4,325.0
3.5,236.0
3.6,179.0
3.7,155.0
3.8,139.0
3.9,137.0
4.0,142.0
4.1,133.0
4.2,130.0
4.3,131.0
4.4,148.0
4.5,142.0
4.6,185.0
4.7,189.0
4.8,202.0
4.9,220.0
5.0,212.0
5.1,213.0
5.2,217.0
5.3,211.0
5.4,211.0
5.5,213.0
5.6,201.0
5.7,199.0
5.8,201.0
5.9,187.0
6.0,179.0
6.1,194.0
6.2,201.0
6.3,255.0
6.4,276.0
6.5,284.0
6.6,294.0
6.7,298.0
6.8,333.0
6.9,348.0
7.0,350.0
7.1,507.0
7.2,635.0
7.3,799.0
7.4,896.0
7.5,814.0
7.6,966.0
7.7,1068.0
7.8,422.0
7.9,279.0
8.0,264.0
8.1,274.0
8.2,268.0
8.3,288.0
8.4,275.0
8.5,297.0
8.6,275.0
8.7,288.0
8.8,283.0
8.9,284.0
9.0,281.0
9.1,281.0
9.2,282.0
9.3,305.0
9.4,300.0
9.5,296.0
9.6,279.0
9.7,279.0
9.8,274.0
9.9,273.0
10.0,248.0
10.1,261.0
10.2,241.0
10.3,239.0
10.4,234.0
10.5,235.0
10.6,234.0
10.7,234.0
10.8,232.0
10.9,228.0
11.0,241.0
11.1,228.0
11.2,227.0
11.3,218.0
11.4,227.0
11.5,221.0
11.6,213.0
11.7,210.0
11.8,215.0
11.9,215.0
12.0,203.0
12.1,208.0
12.2,199.0
12.3,200.0
12.4,199.0
12.5,203.0
12.6,197.0
12.7,202.0
12.8,202.0
12.9,202.0
13.0,206.0
13.1,229.0
13.2,249.0
13.3,323.0
13.4,339.0
13.5,263.0
13.6,219.0
13.7,209.0
13.8,183.0
13.9,180.0
14.0,175.0
14.1,189.0
14.2,177.0
14.3,191.0
14.4,199.0
14.5,205.0
14.6,217.0
14.7,244.0
14.8,311.0
14.9,659.0
15.0,873.0
15.1,713.0
15.2,418.0
15.3,206.0
15.4,165.0
15.5,146.0
15.6,137.0
15.7,150.0
15.8,140.0
15.9,131.0
